T26,Population employed in research and development (R&D),,,,,
705,Slovenia,2017,R & D personnel: Researchers - women (number in full-time equivalent),"2,877",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
705,Slovenia,2017,R & D personnel: Technicians - total (number in full-time equivalent),"3,767",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
705,Slovenia,2017,R & D personnel: Technicians - women (number in full-time equivalent),"1,046",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
705,Slovenia,2017,R & D personnel: Other supporting staff - total (number in full-time equivalent),"1,645",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
705,Slovenia,2017,R & D personnel: Other supporting staff - women (number in full-time equivalent),"1,034",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
705,Slovenia,2018,R & D personnel: Total (number in full-time equivalent),"15,698",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
705,Slovenia,2018,R & D personnel: Researchers - total (number in full-time equivalent),"10,087",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
710,South Africa,2005,R & D personnel: Total (number in full-time equivalent),"28,798",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
710,South Africa,2005,R & D personnel: Researchers - total (number in full-time equivalent),"17,303",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
710,South Africa,2005,R & D personnel: Researchers - women (number in full-time equivalent),"6,272",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
710,South Africa,2005,R & D personnel: Technicians - total (number in full-time equivalent),"5,248",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
710,South Africa,2005,R & D personnel: Technicians - women (number in full-time equivalent),"1,749",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
710,South Africa,2005,R & D personnel: Other supporting staff - total (number in full-time equivalent),"6,247",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
710,South Africa,2005,R & D personnel: Other supporting staff - women (number in full-time equivalent),"2,928",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
710,South Africa,2010,R & D personnel: Total (number in full-time equivalent),"29,486",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
710,South Africa,2010,R & D personnel: Researchers - total (number in full-time equivalent),"18,720",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
710,South Africa,2010,R & D personnel: Researchers - women (number in full-time equivalent),"7,649",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
710,South Africa,2010,R & D personnel: Technicians - total (number in full-time equivalent),"5,410",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
710,South Africa,2010,R & D personnel: Technicians - women (number in full-time equivalent),"2,016",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
710,South Africa,2010,R & D personnel: Other supporting staff - total (number in full-time equivalent),"5,357",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
710,South Africa,2010,R & D personnel: Other supporting staff - women (number in full-time equivalent),"2,546",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
710,South Africa,2015,R & D personnel: Total (number in full-time equivalent),"41,055",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
710,South Africa,2015,R & D personnel: Researchers - total (number in full-time equivalent),"26,159",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
710,South Africa,2015,R & D personnel: Researchers - women (number in full-time equivalent),"11,536",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
710,South Africa,2015,R & D personnel: Technicians - total (number in full-time equivalent),"7,688",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
710,South Africa,2015,R & D personnel: Technicians - women (number in full-time equivalent),"2,844",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
710,South Africa,2015,R & D personnel: Other supporting staff - total (number in full-time equivalent),"7,207",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
710,South Africa,2015,R & D personnel: Other supporting staff - women (number in full-time equivalent),"3,543",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
710,South Africa,2017,R & D personnel: Total (number in full-time equivalent),"44,259",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
710,South Africa,2017,R & D personnel: Researchers - total (number in full-time equivalent),"29,515",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
710,South Africa,2017,R & D personnel: Researchers - women (number in full-time equivalent),"13,111",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
710,South Africa,2017,R & D personnel: Technicians - total (number in full-time equivalent),"7,383",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
710,South Africa,2017,R & D personnel: Technicians - women (number in full-time equivalent),"3,094",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
710,South Africa,2017,R & D personnel: Other supporting staff - total (number in full-time equivalent),"7,361",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed June 2020."
